Année,Financé,Financeur,Réel
2019,325000,NEH,325000
2017,249359,NEH,249359
2012,30000,NEH,30000
2011,249727,NEH,249727
2009,100000,NEH,100000
2010,174828,NEH,174828
2009,50133,NEH,50133
2008,8000,NEH,8000
2007,285000,NEH,285000
2008,119992,NEH,119992
2007,349939,NEH,349939
1999,75000,NEH,75000
1997,250000,NEH,250000
1996,180000,NEH,180000
1994,200000,NEH,200000
1987,2500000,Annenberg/CPB Projects,2500000
1998,2800000,NEH,2800000
2006,432000,Department of Education,432000
2008,471000,Mellon Foundation,471000
2008,240000,NEH,120000
2008,865290,Alpheios,865290
2009,281344,National Science Foundation,
